Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Croatia,HRV,"Population, total",SP.POP.TOTL,4047680
Guam,GUM,"Population, total",SP.POP.TOTL,168783
Vietnam,VNM,"Population, total",SP.POP.TOTL,97338583
Moldova,MDA,"Population, total",SP.POP.TOTL,2620495
Kiribati,KIR,"Population, total",SP.POP.TOTL,119446
Cambodia,KHM,"Population, total",SP.POP.TOTL,16718971
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6934015
Romania,ROU,"Population, total",SP.POP.TOTL,19257520
Hungary,HUN,"Population, total",SP.POP.TOTL,9750149
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265740
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106290
China,CHN,"Population, total",SP.POP.TOTL,1411100000
Myanmar,MMR,"Population, total",SP.POP.TOTL,54409794
Georgia,GEO,"Population, total",SP.POP.TOTL,3722716
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21919000
Armenia,ARM,"Population, total",SP.POP.TOTL,2963234
United Kingdom,GBR,"Population, total",SP.POP.TOTL,67081000
Thailand,THA,"Population, total",SP.POP.TOTL,69799978
Ireland,IRL,"Population, total",SP.POP.TOTL,4985674
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952
Estonia,EST,"Population, total",SP.POP.TOTL,1329479
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,649342
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144073139
Ukraine,UKR,"Population, total",SP.POP.TOTL,44132049
Lithuania,LTU,"Population, total",SP.POP.TOTL,2794885
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51836239
Latvia,LVA,"Population, total",SP.POP.TOTL,1900449
Greece,GRC,"Population, total",SP.POP.TOTL,10700556
Luxembourg,LUX,"Population, total",SP.POP.TOTL,630419
Malta,MLT,"Population, total",SP.POP.TOTL,515332
Andorra,AND,"Population, total",SP.POP.TOTL,77265
Cyprus,CYP,"Population, total",SP.POP.TOTL,1207361
Denmark,DNK,"Population, total",SP.POP.TOTL,5831404
Switzerland,CHE,"Population, total",SP.POP.TOTL,8636561
Netherlands,NLD,"Population, total",SP.POP.TOTL,17441500
Finland,FIN,"Population, total",SP.POP.TOTL,5529543
Belgium,BEL,"Population, total",SP.POP.TOTL,11544241
Spain,ESP,"Population, total",SP.POP.TOTL,47363419
Austria,AUT,"Population, total",SP.POP.TOTL,8916864
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7481000
Germany,DEU,"Population, total",SP.POP.TOTL,83160871
Norway,NOR,"Population, total",SP.POP.TOTL,5379475
Italy,ITA,"Population, total",SP.POP.TOTL,59449527
Iceland,ISL,"Population, total",SP.POP.TOTL,366463
Portugal,PRT,"Population, total",SP.POP.TOTL,10297081
France,FRA,"Population, total",SP.POP.TOTL,67379908
